location_name,mean_1980,mean_1985,mean_1990,mean_1995,mean_2000,mean_2005,mean_2010,mean_2015,pdiff_1985,pdiff_1990,pdiff_1995,pdiff_2000,pdiff_2005,pdiff_2010,pdiff_2015,address,pdiff_1980
Dominican Republic,27.2,29.98,31.42,32.54,33.99,36.59,39.83,43.17,0.102205882,0.155147059,0.196323529,0.249632353,0.345220588,0.464338235,0.587132353,Dominican Republic,0
Ecuador,35.77,38.23,40,41.73,43.17,44.28,47.17,49.66,0.068772715,0.118255521,0.166620073,0.206877271,0.237908862,0.318702824,0.38831423,Ecuador,0
Egypt,39.71,45.42,48.27,50.7,55.8,56.22,57.11,57.51,0.143792496,0.215562831,0.276756485,0.40518761,0.415764291,0.438176782,0.448249811,Egypt,0
El Salvador,23.14,28.1,33.02,37.75,43.3,47.61,48.35,47.59,0.21434745,0.426966292,0.631374244,0.871218669,1.057476232,1.089455488,1.056611927,El Salvador,0
Equatorial Guinea,14.03,14.4,15.06,16.28,21.43,29.48,35.1,37.12,0.02637206,0.073414113,0.160370634,0.527441197,1.101211689,1.501781896,1.645759088,Equatorial Guinea,0
Eritrea,8.52,8.35,8.06,8.09,9.66,10.27,8.44,7.17,-0.019953052,-0.05399061,-0.050469484,0.133802817,0.205399061,-0.009389671,-0.158450704,Eritrea,0
Estonia,37.22,37,36.19,33.85,35.58,39.71,43.04,44.29,-0.005910801,-0.027673294,-0.090542719,-0.044062332,0.066899516,0.156367544,0.189951639,Estonia,0
Ethiopia,6.05,5.79,5.47,5.3,6.57,9.43,10.92,12.61,-0.042975207,-0.095867769,-0.123966942,0.085950413,0.558677686,0.804958678,1.084297521,Ethiopia,0
Federated States of Micronesia,36.27,37.01,39.63,43.47,47.68,49.02,47.22,45.25,0.020402537,0.092638544,0.198511166,0.314585057,0.35153019,0.301902399,0.247587538,Federated States of Micronesia,0
Fiji,29.71,31.04,35,40.12,42.73,41.38,40.3,40.31,0.044766072,0.178054527,0.350387075,0.438236284,0.392797038,0.356445641,0.356782228,Fiji,0
Finland,40.94,39.7,40.27,41.58,44.49,46.89,48.29,49.67,-0.030288227,-0.016365413,0.015632633,0.086712262,0.145334636,0.179531021,0.213238886,Finland,0
France,27.85,29.2,29.87,31.98,34.4,37.33,40.48,40.96,0.048473968,0.072531418,0.148294434,0.23518851,0.340394973,0.453500898,0.470736086,France,0
Gabon,18.62,21.93,24.79,27.84,32.24,36.5,39.02,40.46,0.177765843,0.331364125,0.495166488,0.731471536,0.960257787,1.095596133,1.172932331,Gabon,0
Georgia,35.39,34.98,33.87,33.25,36.81,42.85,45.64,46.2,-0.011585194,-0.042949986,-0.060469059,0.040124329,0.21079401,0.289629839,0.305453518,"Georgia, USA",0
Germany,36.09,38.2,39.51,42.07,42.73,43.87,45.38,46.36,0.058464949,0.094763092,0.165696869,0.183984483,0.215572181,0.257412025,0.284566362,Germany,0
Ghana,7.48,6.79,8.29,12.32,17.97,23.84,26.9,28.39,-0.092245989,0.10828877,0.647058824,1.402406417,2.187165775,2.596256684,2.795454545,Ghana,0
Greece,41.75,42.69,44.24,48.75,51.66,52.45,51.88,50.6,0.02251497,0.059640719,0.167664671,0.237365269,0.256287425,0.242634731,0.211976048,Greece,0
Greenland,32.99,34.83,37.2,40.08,43.15,45.43,46.72,47.67,0.055774477,0.127614429,0.21491361,0.307972113,0.377083965,0.416186723,0.444983328,Greenland,0
Grenada,34.2,35.67,37.15,38.95,40.85,42.87,44.52,45.45,0.042982456,0.08625731,0.138888889,0.194444444,0.253508772,0.301754386,0.328947368,Grenada,0
Guam,47.78,49.08,52.94,57.46,61.03,61.7,62.16,62.85,0.027208037,0.107994977,0.202595228,0.277312683,0.291335287,0.300962746,0.315403935,Guam,0
Guatemala,24.3,26.93,29.48,30.88,33.32,36.63,39.7,40.75,0.108230453,0.213168724,0.270781893,0.371193416,0.507407407,0.633744856,0.676954733,Guatemala,0
Guinea,9.23,10.7,12,13.55,14.55,15.7,17.81,18.8,0.159263272,0.300108342,0.468039003,0.576381365,0.700975081,0.929577465,1.036836403,Guinea,0
Guinea-Bissau,5.34,7.46,10.18,14.39,17.76,19.7,21.37,22.83,0.397003745,0.906367041,1.694756554,2.325842697,2.689138577,3.001872659,3.275280899,Guinea-Bissau,0
Guyana,29.24,30.87,31.67,32.09,35.17,37.61,37.44,36.75,0.055745554,0.083105335,0.09746922,0.202804378,0.28625171,0.280437756,0.256839945,Guyana,0
Haiti,17.81,16.71,14.94,14.12,16.28,18.84,21.89,24.53,-0.061763054,-0.161145424,-0.207186974,-0.085906794,0.057832678,0.229084784,0.377316115,Haiti,0
Honduras,19.66,22.28,27.11,31.25,34.58,38.63,41.97,44,0.133265514,0.378942014,0.589521872,0.758901322,0.964903357,1.134791455,1.238046796,Honduras,0
Hungary,48.94,50.24,49.8,46.37,43.82,44.28,44.75,44.18,0.026563139,0.017572538,-0.052513282,-0.104617899,-0.095218635,-0.085615039,-0.097261953,Hungary,0
Iceland,51.05,51.51,49.78,48.29,49.16,53.36,54.99,54.71,0.009010774,-0.024877571,-0.054064643,-0.037022527,0.045249755,0.077179236,0.071694417,Iceland,0
India,8.56,9.02,9.64,10.35,14.04,14.18,15.5,18.14,0.053738318,0.126168224,0.20911215,0.640186916,0.656542056,0.810747664,1.119158879,India,0
Indonesia,7.61,9.26,10.39,10.97,12.72,16.73,18.89,21.24,0.216819974,0.365308804,0.44152431,0.671484888,1.198423127,1.482260184,1.791064389,Indonesia,0
Iran,28.24,32.31,35.06,38.9,41.12,40.67,39.03,39.86,0.144121813,0.241501416,0.377478754,0.456090652,0.440155807,0.382082153,0.411473088,Iran,0
Iraq,46.14,53.88,56.01,49.68,43.81,45.58,47.44,49.28,0.167750325,0.213914174,0.076723017,-0.050498483,-0.012136974,0.028175119,0.068053749,Iraq,0
